period_id,metric_version,source_class,rule_version,event_id,event_name,primary_brand_id,primary_brand_name,event_count,active_brand_count,theme_count,content_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max,review_status
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MIXUE-HUANGTAO-RETURN,蜜雪冰城黄桃果霸系列回归,mixue,蜜雪冰城,1,1,1,6,6,0,24339,4056.5,3043.5,5639.25,8633.5,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,54.9,105.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHAGEE-HONOR-OF-KINGS,霸王茶姬 × 王者荣耀,chagee,霸王茶姬,1,1,2,9,9,0,16026,1780.67,1001,1367,4852.4,5722,xhs-6a620670000000001101feb4,sufficient_for_descriptive_stats,4,78.4,125.5,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MIXUE-SHANGHAI-CITY,蜜雪冰城满杯百香果上海创意内容,mixue,蜜雪冰城,1,1,1,1,1,0,398,398,398,398,398,398,xhs-6a672494000000000301db16,small_sample,4.2,4.2,4.2,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-COTTI-SPIDERMAN,库迪咖啡 ×《蜘蛛侠：崭新之日》,cotti,库迪咖啡,1,1,2,18,18,0,18570,1031.67,478.5,1223.5,2606.6,4144,xhs-6a61f537000000000100dc0c,sufficient_for_descriptive_stats,5.4,75.5,124,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-HEYTEA-INSPIRATION-CARD,喜茶大家的灵感内容互动,heytea,喜茶,1,1,1,1,1,0,499,499,499,499,499,499,xhs-6a66ffee000000000c016382,small_sample,6.9,6.9,6.9,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-AUNTEA-LOOPY,沪上阿姨 × 赞萌露比,auntea,沪上阿姨,1,1,2,7,7,0,3245,463.57,478,519.5,774.6,1155,xhs-6a6589e1000000000402abaf,sufficient_for_descriptive_stats,7,33.4,82.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-SIMILARITY,茶百道遥远的相似性互动,chabaidao,茶百道,1,1,1,1,1,0,134,134,134,134,134,134,xhs-6a66ed06000000000301df0a,small_sample,8.2,8.2,8.2,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-THAILAND-TRADEMARK,瑞幸泰国商标维权进展,luckin,瑞幸咖啡,1,1,1,1,1,0,37000,37000,37000,37000,37000,37000,xhs-6a66d7e7000000001101fb64,small_sample,9.6,9.6,9.6,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-CITRUS,茶百道夏日柑橘系列,chabaidao,茶百道,1,1,1,6,6,0,6306,1051,922,1302.25,1887,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,11.6,95.2,152.2,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-CROCS,瑞幸咖啡 × Crocs 夏日联名,luckin,瑞幸咖啡,1,1,2,7,7,0,10608,1515.43,851,1137.5,3341.8,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,21.2,75,123.2,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MOLLY-BIRTHDAY-BADGE,茉莉奶白生日徽章上新,molly,茉莉奶白,1,1,1,1,1,0,232,232,232,232,232,232,xhs-6a65f6610000000001002624,small_sample,25.8,25.8,25.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MOLLY-YUNNAN,茉莉奶白滇西特调上新,molly,茉莉奶白,1,1,1,1,1,0,460,460,460,460,460,460,xhs-6a65f5f800000000110195f1,small_sample,25.8,25.8,25.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-FULL-ICE,瑞幸全冰节与全冰去水系列,luckin,瑞幸咖啡,1,1,1,2,2,0,1697,848.5,848.5,1091.25,1236.9,1334,xhs-6a65cc04000000000402ac45,small_sample,28.5,28.6,28.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-COFFEE-MENU,茶百道咖啡产品集合,chabaidao,茶百道,1,1,1,1,1,0,321,321,321,321,321,321,xhs-6a659d4d000000000101d9e3,small_sample,32.1,32.1,32.1,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-HEYTEA-APPLE,喜茶金韵苹果人参果上新与调整,heytea,喜茶,1,1,1,3,3,0,11095,3698.33,1951,4892,6656.6,7833,xhs-6a5ed2c500000000130267b8,small_sample,53.5,131.7,155.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-COTTI-SUCHAO,库迪咖啡苏超观赛互动,cotti,库迪咖啡,1,1,2,1,1,0,1287,1287,1287,1287,1287,1287,xhs-6a6434730000000001032781,small_sample,57.7,57.7,57.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-HEYTEA-SHANGHAI-ICE-LAB,喜茶上海炒冰实验室+,heytea,喜茶,1,1,1,1,1,0,412,412,412,412,412,412,xhs-6a6346da000000000a038ee9,small_sample,74.7,74.7,74.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-CHENGDU-FLAGSHIP,茶百道成都宽窄巷子旗舰店,chabaidao,茶百道,1,1,1,1,1,0,257,257,257,257,257,257,xhs-6a6329c0000000000101deac,small_sample,76.7,76.7,76.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-DUOLINGO,瑞幸咖啡 × 多邻国内容联动,luckin,瑞幸咖啡,1,1,2,2,2,0,4632,2316,2316,2575,2730.4,2834,xhs-6a632195000000000f02bdfd,small_sample,77.2,112.5,147.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MOLLY-SANRIO-POPUP,茉莉奶白 × 三丽鸥日晒海岛派对,molly,茉莉奶白,1,1,2,1,1,0,1065,1065,1065,1065,1065,1065,xhs-6a6215dc000000000f02ba74,small_sample,96.4,96.4,96.4,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHAGEE-TEA-SPACE,霸王茶姬慢生长茶空间,chagee,霸王茶姬,1,1,1,1,1,0,1336,1336,1336,1336,1336,1336,xhs-6a61ff63000000001102d7fe,small_sample,97.9,97.9,97.9,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-DIY-ICE,茶百道网友自制冰棍互动,chabaidao,茶百道,1,1,1,1,1,0,927,927,927,927,927,927,xhs-6a61e507000000000402ba3a,small_sample,99.8,99.8,99.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-JASMINE-ORIGIN,瑞幸广西茉莉产区内容,luckin,瑞幸咖啡,1,1,1,1,1,0,3730,3730,3730,3730,3730,3730,xhs-6a61b9b8000000000a03a23a,small_sample,102.8,102.8,102.8,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-AUNTEA-GREENBEAN,沪上阿姨绿豆冰升级回归,auntea,沪上阿姨,1,1,1,3,3,0,231,77,52,98,125.6,144,xhs-6a5edbe4000000000100fdec,small_sample,103.4,130.5,155,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-CHABAIDAO-WATERMELON,茶百道鲜榨茉莉西瓜产品传播,chabaidao,茶百道,1,1,1,2,2,0,1669,834.5,834.5,928.25,984.5,1022,xhs-6a606aea000000000100c58c,small_sample,106.2,116.45,126.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MIXUE-DASHU-CAMPAIGN,蜜雪冰城大暑果茶内容,mixue,蜜雪冰城,1,1,1,1,1,0,323,323,323,323,323,323,xhs-6a6189960000000001030441,small_sample,106.2,106.2,106.2,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-GUMING-THAI-ORANGE,古茗泰橘系列上新,guming,古茗,1,1,1,2,2,0,223,111.5,111.5,133.25,146.3,155,xhs-6a61883b000000000903797f,small_sample,106.4,117,127.6,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-GUMING-MIFFY,古茗 × 米菲,guming,古茗,1,1,2,2,2,0,2151,1075.5,1075.5,1377.75,1559.1,1680,xhs-6a603293000000001303c324,small_sample,106.9,118.8,130.7,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-HEYTEA-BEIJING-GELATO,喜茶北京 Gelato Lab+,heytea,喜茶,1,1,1,1,1,0,1540,1540,1540,1540,1540,1540,xhs-6a61793b000000001303cc49,small_sample,107.5,107.5,107.5,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-COTTI-ZHANSHEN,库迪咖啡 ×《斩神》ChinaJoy 联动,cotti,库迪咖啡,1,1,2,3,3,0,2408,802.67,642,898,1051.6,1154,xhs-6a616fb20000000001002012,small_sample,108,108.1,123.6,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-MOLLY-LEMON,茉莉奶白针王香柠系列,molly,茉莉奶白,1,1,1,2,2,0,1300,650,650,836,947.6,1022,xhs-6a5f4da1000000000f0303c1,small_sample,117.5,132.25,147,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,EVT-2026W30-LUCKIN-PROBIOTIC-RESTOCK,瑞幸益生菌产品补货,luckin,瑞幸咖啡,1,1,1,1,1,0,1173,1173,1173,1173,1173,1173,xhs-6a60902c000000000f006d3a,small_sample,124,124,124,approved
